symbol,side,signal_time,entry_time,exit_time,entry_price,initial_stop,exit_price,quantity,exit_reason,gross_pnl,costs,net_pnl,r_multiple
SBIN,short,2026-06-12 12:40:00+05:30,2026-06-12 12:45:00+05:30,2026-06-12 13:00:00+05:30,1004.6974,1007.65,1007.0032,124,stop,-285.92,74.84,-360.76,-0.9853
ITC,long,2026-06-12 13:35:00+05:30,2026-06-12 13:50:00+05:30,2026-06-12 13:55:00+05:30,284.7423,284.35,284.2078,438,stop,-234.1,74.76,-308.86,-1.7975
HDFCBANK,long,2026-06-12 13:25:00+05:30,2026-06-12 13:30:00+05:30,2026-06-12 14:10:00+05:30,762.7812,759.2,767.769,163,target,813.0,74.84,738.16,1.2645
INFY,short,2026-06-12 14:25:00+05:30,2026-06-12 14:30:00+05:30,2026-06-12 14:45:00+05:30,1112.8433,1117.4,1114.7571,112,stop,-214.34,74.85,-289.18,-0.5666
ICICIBANK,short,2026-06-15 12:00:00+05:30,2026-06-15 12:05:00+05:30,2026-06-15 12:40:00+05:30,1339.33,1342.7,1340.4699,93,stop,-106.02,74.77,-180.78,-0.5768
KOTAKBANK,short,2026-06-15 12:05:00+05:30,2026-06-15 12:10:00+05:30,2026-06-15 12:40:00+05:30,404.0479,405.4,404.3521,309,stop,-94.0,74.94,-168.93,-0.4043
TCS,short,2026-06-15 13:45:00+05:30,2026-06-15 13:50:00+05:30,2026-06-15 14:05:00+05:30,2166.1164,2171.2,2172.0855,57,stop,-340.24,74.18,-414.42,-1.4302
ITC,long,2026-06-15 13:55:00+05:30,2026-06-15 14:00:00+05:30,2026-06-15 14:15:00+05:30,288.7443,287.9,287.956,432,stop,-340.57,74.74,-415.31,-1.1386
HDFCBANK,short,2026-06-15 13:40:00+05:30,2026-06-15 13:50:00+05:30,2026-06-15 14:20:00+05:30,777.2612,779.4,779.7897,160,stop,-404.56,74.74,-479.3,-1.4006
HDFCBANK,long,2026-06-16 09:45:00+05:30,2026-06-16 09:50:00+05:30,2026-06-16 10:05:00+05:30,783.7917,780.55,780.2597,159,stop,-561.59,74.61,-636.2,-1.2343
AXISBANK,short,2026-06-16 10:00:00+05:30,2026-06-16 10:05:00+05:30,2026-06-16 10:10:00+05:30,1350.2246,1357.3,1357.9787,92,stop,-713.38,74.75,-788.13,-1.2107
ICICIBANK,short,2026-06-16 10:00:00+05:30,2026-06-16 10:05:00+05:30,2026-06-16 10:20:00+05:30,1325.9367,1330.7,1329.3643,94,stop,-322.2,74.88,-397.08,-0.8868
INFY,long,2026-06-16 10:15:00+05:30,2026-06-16 10:20:00+05:30,2026-06-16 10:35:00+05:30,1147.5735,1141.7,1146.2266,108,stop,-145.46,74.32,-219.78,-0.3465
SBIN,short,2026-06-16 10:55:00+05:30,2026-06-16 11:05:00+05:30,2026-06-16 12:00:00+05:30,1014.1927,1018.0,1012.3559,123,stop,225.92,74.78,151.14,0.3227
ITC,long,2026-06-16 11:25:00+05:30,2026-06-16 11:30:00+05:30,2026-06-16 12:15:00+05:30,290.4952,289.95,290.2048,430,stop,-124.85,74.91,-199.76,-0.8521
KOTAKBANK,long,2026-06-16 11:05:00+05:30,2026-06-16 11:15:00+05:30,2026-06-16 12:50:00+05:30,407.6537,406.0,407.1963,306,stop,-139.98,74.8,-214.78,-0.4244
RELIANCE,long,2026-06-16 13:05:00+05:30,2026-06-16 13:10:00+05:30,2026-06-16 13:15:00+05:30,1332.666,1330.6,1329.9347,93,stop,-254.01,74.29,-328.3,-1.7086
TCS,long,2026-06-16 14:30:00+05:30,2026-06-16 14:35:00+05:30,2026-06-17 09:25:00+05:30,2194.5967,2188.3,2202.9398,56,target,467.21,73.88,393.33,1.1155
LT,short,2026-06-16 14:40:00+05:30,2026-06-16 14:45:00+05:30,2026-06-17 09:40:00+05:30,4178.01,4194.0,4181.79,29,stop,-109.62,72.73,-182.35,-0.3932
ITC,long,2026-06-17 09:35:00+05:30,2026-06-17 09:40:00+05:30,2026-06-17 09:50:00+05:30,292.3961,291.7,291.5542,427,stop,-359.52,74.8,-434.32,-1.4612
HDFCBANK,long,2026-06-17 10:30:00+05:30,2026-06-17 10:35:00+05:30,2026-06-17 11:30:00+05:30,788.9943,786.25,792.7141,158,target,587.74,74.97,512.76,1.1826
AXISBANK,short,2026-06-17 11:35:00+05:30,2026-06-17 11:40:00+05:30,2026-06-17 11:45:00+05:30,1350.3245,1354.9,1355.5775,92,stop,-483.27,74.68,-557.96,-1.3255
LT,long,2026-06-17 11:40:00+05:30,2026-06-17 11:45:00+05:30,2026-06-17 12:00:00+05:30,4203.2006,4195.0,4193.1026,29,stop,-292.84,73.05,-365.89,-1.5385
ICICIBANK,short,2026-06-17 12:10:00+05:30,2026-06-17 12:15:00+05:30,2026-06-17 12:35:00+05:30,1333.6329,1340.1,1337.0682,93,stop,-319.49,74.51,-394.0,-0.6551
KOTAKBANK,short,2026-06-17 12:15:00+05:30,2026-06-17 12:20:00+05:30,2026-06-17 12:40:00+05:30,405.5471,406.4,404.47,308,target,331.77,74.85,256.92,0.9781
SBIN,long,2026-06-17 12:00:00+05:30,2026-06-17 12:05:00+05:30,2026-06-17 14:30:00+05:30,1021.3104,1018.15,1021.6889,122,stop,46.18,74.77,-28.59,-0.0742
AXISBANK,short,2026-06-18 09:40:00+05:30,2026-06-18 09:45:00+05:30,2026-06-18 10:30:00+05:30,1348.3255,1352.5,1351.1753,92,stop,-262.18,74.51,-336.68,-0.8767
KOTAKBANK,short,2026-06-18 10:20:00+05:30,2026-06-18 10:25:00+05:30,2026-06-18 10:30:00+05:30,402.1488,403.0,403.2015,310,stop,-326.33,74.9,-401.22,-1.5206
ICICIBANK,short,2026-06-18 10:30:00+05:30,2026-06-18 10:35:00+05:30,2026-06-18 10:45:00+05:30,1332.9332,1334.5,1335.1672,93,stop,-207.77,74.44,-282.21,-1.9367
