exit_time,equity,net_pnl
2026-06-01 12:20:00+05:30,487610.05,-581.47
2026-06-01 12:35:00+05:30,487105.84,-504.21
2026-06-01 12:50:00+05:30,487156.3,50.46
2026-06-01 13:00:00+05:30,486863.26,-293.04
2026-06-01 13:10:00+05:30,487393.39,530.13
2026-06-01 13:20:00+05:30,487193.59,-199.8
2026-06-01 14:40:00+05:30,486938.54,-255.05
2026-06-02 12:10:00+05:30,486882.71,-55.83
2026-06-02 12:15:00+05:30,486580.87,-301.84
2026-06-02 12:40:00+05:30,486190.25,-390.62
2026-06-02 12:45:00+05:30,485673.25,-517.0
2026-06-02 13:00:00+05:30,485473.63,-199.62
2026-06-02 13:10:00+05:30,485273.94,-199.69
2026-06-02 13:10:00+05:30,485992.51,718.57
2026-06-02 13:15:00+05:30,485441.18,-551.33
2026-06-03 11:20:00+05:30,485347.25,-93.93
2026-06-03 12:15:00+05:30,484897.29,-449.96
2026-06-03 12:55:00+05:30,484450.92,-446.37
2026-06-03 13:40:00+05:30,484052.66,-398.26
2026-06-03 13:45:00+05:30,485018.13,965.47
2026-06-03 13:45:00+05:30,484480.11,-538.02
2026-06-04 11:00:00+05:30,483793.5,-686.61
2026-06-04 11:30:00+05:30,483238.98,-554.52
2026-06-04 11:35:00+05:30,483765.93,526.95
2026-06-04 11:50:00+05:30,483636.12,-129.81
2026-06-04 12:35:00+05:30,483057.65,-578.47
2026-06-04 14:15:00+05:30,482457.75,-599.9
2026-06-05 09:40:00+05:30,481873.78,-583.97
2026-06-05 10:25:00+05:30,482423.55,549.77
2026-06-05 10:30:00+05:30,481878.0,-545.55
2026-06-05 10:55:00+05:30,481425.61,-452.39
2026-06-05 11:00:00+05:30,480715.16,-710.45
2026-06-05 11:00:00+05:30,480379.8,-335.36
2026-06-05 11:00:00+05:30,479634.94,-744.86
2026-06-05 11:05:00+05:30,479322.9,-312.04
2026-06-05 12:35:00+05:30,479607.38,284.48
2026-06-05 14:15:00+05:30,479524.03,-83.35
2026-06-08 09:45:00+05:30,479400.49,-123.54
2026-06-08 11:10:00+05:30,478931.03,-469.46
2026-06-08 11:30:00+05:30,479318.81,387.78
2026-06-08 13:00:00+05:30,478921.41,-397.4
2026-06-08 13:55:00+05:30,478849.13,-72.28
2026-06-09 11:20:00+05:30,479135.52,286.39
2026-06-09 11:35:00+05:30,478697.79,-437.73
2026-06-09 11:50:00+05:30,478972.78,274.99
2026-06-09 12:30:00+05:30,479281.69,308.91
2026-06-09 13:00:00+05:30,478998.22,-283.47
2026-06-09 13:15:00+05:30,478619.72,-378.5
2026-06-09 13:45:00+05:30,478442.22,-177.5
2026-06-10 10:05:00+05:30,477575.62,-866.6
2026-06-10 10:45:00+05:30,477106.5,-469.12
2026-06-10 12:25:00+05:30,476747.02,-359.48
2026-06-10 12:45:00+05:30,476492.65,-254.37
2026-06-10 13:10:00+05:30,476942.34,449.69
2026-06-10 14:05:00+05:30,476549.3,-393.04
2026-06-10 15:00:00+05:30,477256.17,706.87
2026-06-11 11:25:00+05:30,476691.73,-564.44
2026-06-11 11:40:00+05:30,477042.44,350.71
2026-06-11 11:50:00+05:30,477883.21,840.77
2026-06-11 12:10:00+05:30,478548.65,665.44
2026-06-11 12:30:00+05:30,478945.63,396.98
2026-06-11 12:40:00+05:30,479211.87,266.24
2026-06-11 12:55:00+05:30,478789.55,-422.32
2026-06-12 10:50:00+05:30,478327.73,-461.82
2026-06-12 13:00:00+05:30,477966.97,-360.76
2026-06-12 13:55:00+05:30,477658.11,-308.86
2026-06-12 14:10:00+05:30,478396.27,738.16
2026-06-12 14:45:00+05:30,478107.09,-289.18
2026-06-15 12:40:00+05:30,477926.31,-180.78
2026-06-15 12:40:00+05:30,477757.38,-168.93
2026-06-15 14:05:00+05:30,477342.96,-414.42
2026-06-15 14:15:00+05:30,476927.65,-415.31
2026-06-15 14:20:00+05:30,476448.35,-479.3
2026-06-16 10:05:00+05:30,475812.15,-636.2
2026-06-16 10:10:00+05:30,475024.02,-788.13
2026-06-16 10:20:00+05:30,474626.94,-397.08
2026-06-16 10:35:00+05:30,474407.16,-219.78
2026-06-16 12:00:00+05:30,474558.3,151.14
2026-06-16 12:15:00+05:30,474358.54,-199.76
2026-06-16 12:50:00+05:30,474143.76,-214.78
2026-06-16 13:15:00+05:30,473815.46,-328.3
2026-06-17 09:25:00+05:30,474208.79,393.33
2026-06-17 09:40:00+05:30,474026.44,-182.35
2026-06-17 09:50:00+05:30,473592.12,-434.32
2026-06-17 11:30:00+05:30,474104.88,512.76
2026-06-17 11:45:00+05:30,473546.92,-557.96
2026-06-17 12:00:00+05:30,473181.03,-365.89
2026-06-17 12:35:00+05:30,472787.03,-394.0
2026-06-17 12:40:00+05:30,473043.95,256.92
2026-06-17 14:30:00+05:30,473015.36,-28.59
2026-06-18 10:30:00+05:30,472678.68,-336.68
2026-06-18 10:30:00+05:30,472277.46,-401.22
2026-06-18 10:45:00+05:30,471995.25,-282.21
2026-06-18 10:45:00+05:30,472213.99,218.74
2026-06-18 12:50:00+05:30,471849.2,-364.79
2026-06-18 14:35:00+05:30,471633.0,-216.2
2026-06-18 15:00:00+05:30,471217.69,-415.31
2026-06-19 11:10:00+05:30,471092.06,-125.63
2026-06-19 12:00:00+05:30,470792.39,-299.67
2026-06-19 12:25:00+05:30,470617.62,-174.77
2026-06-19 13:10:00+05:30,470738.02,120.4
2026-06-19 13:15:00+05:30,470338.63,-399.39
2026-06-19 13:30:00+05:30,469998.31,-340.32
2026-06-19 13:30:00+05:30,469879.21,-119.1
2026-06-22 11:40:00+05:30,469462.25,-416.96
2026-06-22 13:20:00+05:30,469371.87,-90.38
2026-06-22 13:35:00+05:30,469257.86,-114.01
2026-06-23 09:55:00+05:30,468722.38,-535.48
2026-06-23 10:10:00+05:30,468467.77,-254.61
2026-06-23 10:15:00+05:30,468417.46,-50.31
2026-06-23 11:10:00+05:30,468578.7,161.24
2026-06-23 11:25:00+05:30,468225.39,-353.31
2026-06-23 12:20:00+05:30,468407.74,182.35
2026-06-23 12:55:00+05:30,468074.45,-333.29
2026-06-23 14:10:00+05:30,467594.37,-480.08
2026-06-24 09:45:00+05:30,466993.35,-601.02
2026-06-24 10:00:00+05:30,466308.24,-685.11
2026-06-24 10:10:00+05:30,465608.1,-700.14
2026-06-24 10:55:00+05:30,466184.08,575.98
2026-06-24 11:30:00+05:30,465817.98,-366.1
2026-06-24 11:55:00+05:30,465787.17000000004,-30.81
2026-06-24 13:25:00+05:30,465645.45,-141.72
2026-06-24 13:55:00+05:30,465266.44,-379.01
2026-06-24 14:00:00+05:30,464789.78,-476.66
2026-06-25 10:10:00+05:30,464419.27,-370.51
2026-06-25 11:40:00+05:30,464144.25,-275.02
2026-06-25 12:20:00+05:30,464372.95,228.7
2026-06-25 12:25:00+05:30,463703.17,-669.78
2026-06-25 12:55:00+05:30,463267.09,-436.08
2026-06-25 15:25:00+05:30,463199.58,-67.51
2026-06-29 10:10:00+05:30,462699.66000000003,-499.92
2026-06-29 10:35:00+05:30,462027.18,-672.48
2026-06-29 11:25:00+05:30,461592.32,-434.86
2026-06-29 13:50:00+05:30,461210.4,-381.92
2026-06-29 14:30:00+05:30,460774.98,-435.42
2026-06-30 10:00:00+05:30,460107.33,-667.65
2026-06-30 10:00:00+05:30,459928.98,-178.35
2026-06-30 10:45:00+05:30,459261.14,-667.84
2026-06-30 11:35:00+05:30,458491.66000000003,-769.48
2026-06-30 12:15:00+05:30,458117.05,-374.61
2026-06-30 12:25:00+05:30,458016.66000000003,-100.39
2026-06-30 12:35:00+05:30,457853.77,-162.89
2026-06-30 14:20:00+05:30,457424.62,-429.15
2026-06-30 14:55:00+05:30,457023.56,-401.06
2026-07-01 10:00:00+05:30,457281.88,258.32
2026-07-01 10:20:00+05:30,457941.3,659.42
2026-07-01 11:25:00+05:30,457898.65,-42.65
2026-07-01 12:40:00+05:30,457587.14,-311.51
2026-07-01 12:50:00+05:30,457148.3,-438.84
2026-07-01 12:50:00+05:30,457164.09,15.79
2026-07-01 13:20:00+05:30,456820.9,-343.19
2026-07-01 13:20:00+05:30,457519.49,698.59
2026-07-01 13:25:00+05:30,457867.12,347.63
2026-07-02 10:30:00+05:30,458147.75,280.63
2026-07-02 10:35:00+05:30,457760.27999999997,-387.47
2026-07-02 11:05:00+05:30,457581.05,-179.23
2026-07-02 11:30:00+05:30,457759.41,178.36
2026-07-02 11:50:00+05:30,457624.8,-134.61
2026-07-02 14:05:00+05:30,457281.26,-343.54
2026-07-02 14:05:00+05:30,457149.12,-132.14
2026-07-02 14:55:00+05:30,457332.16,183.04
2026-07-02 14:55:00+05:30,456779.52,-552.64
2026-07-03 09:55:00+05:30,457361.35,581.83
